_id,uid,type,timestamp,x,y,z,test
6827bc354b2ae70172a64eba,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:40.846Z,4.5082817,-7.5225816,-4.63278,true
6827bc354b2ae70172a64ebb,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:41.006Z,4.5441947,-7.4387846,-4.608838,true
6827bc354b2ae70172a64ebc,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:41.165Z,4.5418005,-7.4363904,-4.6255975,true
6827bc354b2ae70172a64ebd,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:41.326Z,4.450821,-7.563283,-4.618415,true
6827bc354b2ae70172a64ebe,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:41.485Z,4.4484267,-7.5082164,-4.618415,true
6827bc354b2ae70172a64ebf,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:41.645Z,4.525041,-7.445967,-4.6040497,true
6827bc354b2ae70172a64ec0,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:41.805Z,4.51307,-7.4483614,-4.6351743,true
6827bc354b2ae70172a64ec1,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:41.965Z,4.4460325,-7.4363904,-4.6112323,true
6827bc354b2ae70172a64ec2,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:42.127Z,4.4939165,-7.5968018,-4.498705,true
6827bc354b2ae70172a64ec3,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:42.285Z,4.4843397,-7.587225,-4.5154643,true
6827bc354b2ae70172a64ec4,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:42.445Z,4.462792,-7.560889,-4.6160207,true
6827bc354b2ae70172a64ec5,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:42.605Z,4.4005427,-7.541735,-4.501099,true
6827bc354b2ae70172a64ec6,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:42.765Z,4.3646297,-7.489063,-4.5082817,true
6827bc354b2ae70172a64ec7,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:42.926Z,4.390966,-7.66384,-4.486734,true
6827bc354b2ae70172a64ec8,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:43.085Z,4.331111,-7.5968018,-4.477157,true
6827bc354b2ae70172a64ec9,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:43.245Z,4.232949,-8.066066,-4.024653,true
6827bc354b2ae70172a64eca,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:43.404Z,4.1371803,-8.583213,-3.7469256,true
6827bc354b2ae70172a64ecb,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:43.564Z,3.58412,-7.9272017,-4.024653,true
6827bc354b2ae70172a64ecc,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:43.725Z,3.7229836,-8.406042,-2.8993783,true
6827bc354b2ae70172a64ecd,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:43.884Z,3.323152,-9.435549,-3.490746,true
6827bc354b2ae70172a64ece,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:44.044Z,3.572149,-9.234436,-3.4620156,true
6827bc354b2ae70172a64ecf,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:44.204Z,3.1747115,-8.348581,-4.247314,true
6827bc354b2ae70172a64ed0,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:44.364Z,3.8067808,-8.185776,-3.70383,true
6827bc354b2ae70172a64ed1,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:44.525Z,3.5529952,-8.082825,-4.0653543,true
6827bc354b2ae70172a64ed2,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:44.684Z,3.0765493,-8.695741,-3.608062,true
6827bc354b2ae70172a64ed3,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:44.844Z,3.596091,-8.334216,-4.2185836,true
6827bc354b2ae70172a64ed4,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:45.004Z,3.454833,-8.171411,-4.2281604,true
6827bc354b2ae70172a64ed5,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:45.164Z,3.550601,-8.015787,-4.644751,true
6827bc354b2ae70172a64ed6,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:45.325Z,3.7110126,-7.821857,-4.572925,true
6827bc354b2ae70172a64ed7,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:45.483Z,3.8307228,-7.8625584,-4.6591167,true
6827bc354b2ae70172a64ed8,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:45.644Z,3.9719806,-7.6853876,-4.6232033,true
6827bc354b2ae70172a64ed9,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:45.805Z,4.0054994,-7.7093296,-4.3837833,true
6827bc354b2ae70172a64eda,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:45.964Z,4.1659107,-7.955932,-3.655946,true
6827bc354b2ae70172a64edb,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:46.124Z,4.2185836,-8.171411,-3.8019924,true
