_id,type,time,X,Y,Z,uid,timestamp,x,y,z,test
67732e569b85a0767f6f2276,Gravity,2024-10-30T01:42:03.157Z,5.3879175,-5.426553,6.139495,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2277,Gravity,2024-10-30T01:42:03.316Z,5.8568377,-3.098578,7.2295737,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2278,Gravity,2024-10-30T01:42:03.479Z,5.6791015,-2.0591187,7.7251725,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2279,Gravity,2024-10-30T01:42:03.638Z,5.5017023,-2.8627145,7.5964856,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f227a,Gravity,2024-10-30T01:42:03.796Z,5.5592446,-3.945956,7.0494475,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f227b,Gravity,2024-10-30T01:42:03.954Z,5.2817154,-4.1153116,7.1650667,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f227c,Gravity,2024-10-30T01:42:04.114Z,5.122627,-4.1457386,7.2623706,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f227d,Gravity,2024-10-30T01:42:04.273Z,4.759898,-4.4605303,7.322398,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f227e,Gravity,2024-10-30T01:42:04.432Z,4.003139,-5.757307,6.8555655,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f227f,Gravity,2024-10-30T01:42:04.592Z,3.2176955,-6.856474,6.229424,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2280,Gravity,2024-10-30T01:42:04.752Z,0.97274,-9.043688,3.6655269,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2281,Gravity,2024-10-30T01:42:04.913Z,-3.4307463,-8.156874,4.226817,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2282,Gravity,2024-10-30T01:42:05.072Z,-6.022447,-6.2060833,4.6244144,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2283,Gravity,2024-10-30T01:42:05.232Z,-6.4979033,-5.7345943,4.5893636,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2284,Gravity,2024-10-30T01:42:05.392Z,-5.5369806,-6.6226063,4.6533346,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2285,Gravity,2024-10-30T01:42:05.552Z,-4.837839,-7.8130293,3.4238148,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2286,Gravity,2024-10-30T01:42:05.713Z,-4.177045,-8.65551,1.95067,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2287,Gravity,2024-10-30T01:42:05.872Z,-4.5124707,-8.676944,-0.7203455,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2288,Gravity,2024-10-30T01:42:06.031Z,-8.012578,-3.7284496,-4.250645,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2289,Gravity,2024-10-30T01:42:06.191Z,-8.921571,-3.6525054,-1.7987282,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f228a,Gravity,2024-10-30T01:42:06.351Z,-9.10362,-2.689176,-2.4623535,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f228b,Gravity,2024-10-30T01:42:06.512Z,-8.455446,-4.0449924,-2.883442,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f228c,Gravity,2024-10-30T01:42:06.671Z,-7.7019486,-3.4095201,-5.022533,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f228d,Gravity,2024-10-30T01:42:06.831Z,-7.0244713,-3.7380004,-5.731899,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f228e,Gravity,2024-10-30T01:42:06.991Z,-7.013005,-3.4524634,-5.9219084,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f228f,Gravity,2024-10-30T01:42:07.151Z,-7.193094,-3.4581277,-5.6983805,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2290,Gravity,2024-10-30T01:42:07.312Z,-7.1562643,-3.3457885,-5.8107176,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2291,Gravity,2024-10-30T01:42:07.470Z,-7.158772,-3.2473922,-5.863211,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2292,Gravity,2024-10-30T01:42:07.630Z,-7.0869827,-3.1825101,-5.98475,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2293,Gravity,2024-10-30T01:42:07.790Z,-6.9727774,-3.190121,-6.113452,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2294,Gravity,2024-10-30T01:42:07.950Z,-7.0048094,-3.0840614,-6.131226,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2295,Gravity,2024-10-30T01:42:08.111Z,-6.990576,-3.0870242,-6.145967,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2296,Gravity,2024-10-30T01:42:08.270Z,-7.0542254,-2.930841,-6.1497197,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2297,Gravity,2024-10-30T01:42:08.429Z,-7.030485,-2.8335657,-6.222058,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2298,Gravity,2024-10-30T01:42:08.590Z,-7.008637,-2.6928449,-6.3085995,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2299,Gravity,2024-10-30T01:42:08.749Z,-6.986827,-2.4621727,-6.4259276,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f229a,Gravity,2024-10-30T01:42:08.911Z,-7.0104856,-2.5436957,-6.368139,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f229b,Gravity,2024-10-30T01:42:09.069Z,-7.096317,-2.572828,-6.2604628,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f229c,Gravity,2024-10-30T01:42:09.229Z,-7.699854,-2.31317,-5.615343,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f229d,Gravity,2024-10-30T01:42:09.389Z,-7.3079653,-5.235797,-3.918,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f229e,Gravity,2024-10-30T01:42:09.549Z,-3.3305562,-8.850471,-2.59754,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f229f,Gravity,2024-10-30T01:42:09.710Z,-0.22891544,-9.803989,0.0070662852,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f22a0,Gravity,2024-10-30T01:42:09.869Z,-0.4447864,-9.12803,3.5569317,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f22a1,Gravity,2024-10-30T01:42:10.028Z,-2.6249168,-7.6364226,5.564651,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f22a2,Gravity,2024-10-30T01:42:10.189Z,-3.5885026,-6.5675173,6.3372564,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f22a3,Gravity,2024-10-30T01:42:10.348Z,-3.9359372,-5.1517777,7.3578553,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f22a4,Gravity,2024-10-30T01:42:10.510Z,-4.0053687,-7.090933,5.4631667,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f22a5,Gravity,2024-10-30T01:42:10.668Z,-2.3616312,-7.760457,5.5107603,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f22a6,Gravity,2024-10-30T01:42:10.828Z,-0.6707269,-7.627309,6.1273785,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f22a7,Gravity,2024-10-30T01:42:10.988Z,-1.271366,-7.645603,6.0082326,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f22a8,Gravity,2024-10-30T01:42:11.148Z,-1.320233,-8.453813,4.79172,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f22a9,Gravity,2024-10-30T01:42:11.309Z,-0.79658705,-8.782114,4.290741,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f22aa,Gravity,2024-10-30T01:42:11.468Z,-0.5520185,-8.561389,4.750627,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f22ab,Gravity,2024-10-30T01:42:11.629Z,-0.27318624,-8.862647,4.189215,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f22ac,Gravity,2024-10-30T01:42:11.788Z,-0.10004618,-9.1802635,3.447239,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f22ad,Gravity,2024-10-30T01:42:11.948Z,-0.057068042,-9.334059,3.007135,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f22ae,Gravity,2024-10-30T01:42:12.109Z,0.18792452,-9.414749,2.7382507,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f22af,Gravity,2024-10-30T01:42:12.267Z,0.23619916,-9.431358,2.6766455,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
